"country","journal","discipline","position","n.authors","n.papers","genderRatios","low.CI.1","up.CI.1","current.rate.of.change","low.CI.2","up.CI.2","years.to.parity","low.CI.3","up.CI.3","r","c","qualitative.result"
"Sweden","All journals","Metabolism","overall",1913,382,38.273,32.688,42.9,-0.237,-1.187,0.266,NA,NA,NA,-0.054,0.389,"Male-biased and becoming more so"
"Switzerland","All journals","Metabolism","overall",1046,184,41.097,37.13,44.518,0.724,0.352,0.978,7.365,1.365,28.39,0.201,2.293,"Male-biased but improving"
"Turkey","All journals","Metabolism","overall",641,144,39.759,32.854,46.137,0.382,-0.518,0.757,NA,NA,NA,0.102,1.174,"Male-biased but improving"
"United Kingdom","All journals","Metabolism","overall",3522,729,38.963,36.013,41.591,0.295,-0.052,0.519,34,NA,NA,0.069,1.004,"Male-biased but improving"
"USA","All journals","Metabolism","overall",27273,6643,46.443,45.571,47.181,0.346,0.31,0.374,0,0,0,0.211,0.886,"Essentially at parity"
"Argentina","All journals","Microbiology","overall",4654,1145,61.622,58.73,64.649,0.66,0.112,1.459,NA,NA,NA,-0.091,-0.176,"Female-biased and becoming more so"
"Australia","All journals","Microbiology","overall",11220,2863,38.934,36.975,40.776,0.224,-0.014,0.402,NA,NA,NA,0.052,0.875,"Male-biased but improving"
"Austria","All journals","Microbiology","overall",5679,1282,42.442,40.04,44.624,0.391,0.149,0.531,22,NA,NA,0.121,0.977,"Male-biased but improving"
"Belgium","All journals","Microbiology","overall",8280,1713,40.677,38.878,42.433,0.49,0.331,0.609,11.365,5.365,24.365,0.129,1.341,"Male-biased but improving"
"Brazil","All journals","Microbiology","overall",18036,3700,52.816,51.951,53.726,-0.156,-0.201,-0.077,7,NA,NA,0.107,-0.259,"Essentially at parity"
"Canada","All journals","Microbiology","overall",19084,5502,39.179,37.675,40.54,0.171,-0.003,0.311,NA,NA,NA,0.041,0.775,"Male-biased but improving"
"Chile","All journals","Microbiology","overall",2001,466,37.238,30.79,42.383,-0.385,-1.71,0.263,NA,NA,NA,-0.086,0.337,"Male-biased and becoming more so"
"China","All journals","Microbiology","overall",14216,9785,47.825,46.293,48.822,0.208,0.042,0.266,9,NA,NA,0.203,0.501,"Essentially at parity"
"Colombia","All journals","Microbiology","overall",630,148,51.723,50,62.53,0,-0.297,2.782,NA,NA,NA,0.014,-0.159,"Essentially at parity"
"Czech Republic","All journals","Microbiology","overall",3049,628,48.434,46.624,49.525,0.275,0.135,0.392,0,0,0,0.38,1.485,"Essentially at parity"
"Denmark","All journals","Microbiology","overall",7384,1838,40.654,38.731,42.423,0.539,0.384,0.662,10.365,5.365,20.39,0.142,1.504,"Male-biased but improving"
"Egypt","All journals","Microbiology","overall",815,270,43.782,38.171,48.013,0.337,-0.474,0.595,NA,NA,NA,0.134,0.847,"Male-biased but improving"
"Finland","All journals","Microbiology","overall",4588,1055,52.778,51.256,54.86,-0.129,-0.202,0.026,0,NA,NA,0.091,-0.229,"Essentially at parity"
"France","All journals","Microbiology","overall",35949,8173,44.758,43.075,46.245,-0.074,-0.421,0.103,NA,NA,NA,-0.033,0.179,"Male-biased and becoming more so"
"Germany","All journals","Microbiology","overall",33649,8049,40.041,39.089,41.006,0.419,0.332,0.505,16.365,10.365,23.365,0.106,1.199,"Male-biased but improving"
"Greece","All journals","Microbiology","overall",1318,319,44.619,31.297,49.702,0.047,-4.881,0.343,NA,NA,NA,0.023,0.28,"Male-biased but improving"
"Hong Kong","All journals","Microbiology","overall",683,210,42.14,27.942,50.027,-0.373,-2.493,0.021,NA,NA,NA,-0.242,0.08,"Male-biased and becoming more so"
"Hungary","All journals","Microbiology","overall",1088,228,42.556,37.619,46.335,0.348,-0.183,0.588,NA,NA,NA,0.116,0.916,"Male-biased but improving"
"India","All journals","Microbiology","overall",10658,4278,37.452,35.671,39.236,-0.411,-0.779,-0.095,NA,NA,NA,-0.088,0.322,"Male-biased and becoming more so"
"Indonesia","All journals","Microbiology","overall",1068,204,50,49.972,55.572,0,-0.211,0.231,NA,NA,NA,0.01,-0.095,"Essentially at parity"
"Iran","All journals","Microbiology","overall",2153,1074,32.592,28.985,36.004,0.43,-0.248,0.971,NA,NA,NA,0.072,1.959,"Male-biased but improving"
"Ireland","All journals","Microbiology","overall",4160,1002,39.432,36.603,42.093,0.315,-0.035,0.549,33,NA,NA,0.078,1.005,"Male-biased but improving"
"Israel","All journals","Microbiology","overall",3492,961,40.328,36.224,43.493,-0.111,-0.714,0.241,NA,NA,NA,-0.029,0.379,"Male-biased and becoming more so"
"Italy","All journals","Microbiology","overall",19210,3440,53.138,50,54.698,0.048,-0.068,0.286,NA,NA,NA,-0.041,-0.087,"Essentially at parity"
"Japan","All journals","Microbiology","overall",23647,6310,25.477,24.371,26.71,0.145,0.011,0.287,NA,NA,NA,0.024,2.336,"Male-biased but improving"
"Malaysia","All journals","Microbiology","overall",917,377,31.198,24.234,38.168,-2.6,-5.6,-0.805,NA,NA,NA,-0.457,0.027,"Male-biased and becoming more so"
"Mexico","All journals","Microbiology","overall",3694,900,41.725,38.816,44.284,0.073,-0.389,0.339,NA,NA,NA,0.021,0.471,"Male-biased but improving"
"Netherlands","All journals","Microbiology","overall",12847,2853,35.239,33.672,36.818,0.588,0.431,0.721,24.365,16.365,38.365,0.113,2.152,"Male-biased but improving"
"New Zealand","All journals","Microbiology","overall",2658,669,37.158,33.424,40.234,0.223,-0.261,0.56,NA,NA,NA,0.045,1.019,"Male-biased but improving"
"Norway","All journals","Microbiology","overall",3581,859,37.563,33.56,41.213,-0.398,-1.11,0.108,NA,NA,NA,-0.086,0.322,"Male-biased and becoming more so"
"Poland","All journals","Microbiology","overall",3902,1062,58.309,55.866,61.021,-0.031,-0.257,0.375,NA,NA,NA,0.005,-0.299,"Female-biased but improving"
"Portugal","All journals","Microbiology","overall",5902,1306,54.972,53.445,56.709,-0.159,-0.268,0.051,13,NA,NA,0.058,-0.29,"Essentially at parity"
"Russia","All journals","Microbiology","overall",3102,763,49.986,49.658,50,0.007,0,0.09,0,0,0,1.068,4.102,"Essentially at parity"
"Singapore","All journals","Microbiology","overall",1086,413,38.888,32.903,43.868,0.323,-0.589,0.706,NA,NA,NA,0.075,1.055,"Male-biased but improving"
"Slovakia","All journals","Microbiology","overall",1169,299,50,49.94,69.394,0,0,8.744,NA,NA,NA,17.222,113939262.171,"Essentially at parity"
"Slovenia","All journals","Microbiology","overall",696,181,53.459,50.498,57.11,-0.338,-0.498,-0.073,13,NA,NA,0.192,-0.647,"Essentially at parity"
"South Africa","All journals","Microbiology","overall",1413,391,42.058,38.229,46.003,0.489,-0.087,0.745,23,NA,NA,0.152,1.307,"Male-biased but improving"
"South Korea","All journals","Microbiology","overall",7273,4683,41.923,39.718,43.827,0.38,0.122,0.542,23,NA,NA,0.115,0.998,"Male-biased but improving"
"Spain","All journals","Microbiology","overall",22145,5191,48.657,47.652,49.387,0.171,0.12,0.205,0,0,0,0.264,0.507,"Essentially at parity"
"Sweden","All journals","Microbiology","overall",6438,1737,41.907,38.818,44.726,0.125,-0.275,0.351,NA,NA,NA,0.038,0.529,"Male-biased but improving"
"Switzerland","All journals","Microbiology","overall",7244,1644,38.665,36.785,40.744,0.413,0.156,0.592,21.365,9.365,69.44,0.094,1.278,"Male-biased but improving"
"Thailand","All journals","Microbiology","overall",1892,717,49.749,48.842,49.981,0.077,0.01,0.203,0,0,0,0.607,1.74,"Essentially at parity"
"Tunisia","All journals","Microbiology","overall",862,174,49.808,48.146,50,0.067,0,0.293,8,NA,NA,0.696,2.984,"Essentially at parity"
"Turkey","All journals","Microbiology","overall",6259,1567,48.105,45.846,49.693,0.126,-0.166,0.208,0,NA,NA,0.166,0.304,"Essentially at parity"
"United Kingdom","All journals","Microbiology","overall",17602,4150,39.599,38.35,40.737,0.584,0.478,0.668,12.365,9.365,18.365,0.142,1.71,"Male-biased but improving"
"USA","All journals","Microbiology","overall",143781,43855,40.88,40.422,41.329,0.357,0.313,0.395,15.365,12.365,19.365,0.096,0.989,"Male-biased but improving"
"Australia","All journals","Midwifery","overall",1180,511,81.847,78.16,86.423,-0.261,-0.767,0.569,NA,NA,NA,0.011,-0.849,"Female-biased but improving"
"United Kingdom","All journals","Midwifery","overall",853,496,82.774,78.836,87.17,-0.422,-0.751,0.073,NA,NA,NA,0.015,-0.899,"Female-biased but improving"
"USA","All journals","Midwifery","overall",1922,959,83.872,81.104,86.735,-0.447,-0.679,-0.163,218,NA,NA,0.016,-0.921,"Female-biased but improving"
"Argentina","All journals","Molecular Biology","overall",1426,366,48.42,44.253,49.785,0.264,0.049,0.432,10,NA,NA,0.383,1.583,"Essentially at parity"
"Australia","All journals","Molecular Biology","overall",8976,2547,37.766,35.649,39.551,0.131,-0.141,0.339,NA,NA,NA,0.027,0.816,"Male-biased but improving"
"Austria","All journals","Molecular Biology","overall",3597,931,37.051,34.425,39.979,0.481,0.176,0.722,36,NA,NA,0.098,1.577,"Male-biased but improving"
"Belgium","All journals","Molecular Biology","overall",3309,769,38.269,35.371,40.955,0.34,-0.007,0.595,36,NA,NA,0.076,1.158,"Male-biased but improving"
"Brazil","All journals","Molecular Biology","overall",6149,1373,46.749,44.574,48.362,0.234,0.017,0.31,11,NA,NA,0.159,0.52,"Essentially at parity"
"Canada","All journals","Molecular Biology","overall",15727,4885,34.552,32.951,36.03,0.07,-0.122,0.24,NA,NA,NA,0.014,1.003,"Male-biased but improving"
"Chile","All journals","Molecular Biology","overall",1109,260,33.012,27.624,38.177,-0.48,-1.465,0.241,NA,NA,NA,-0.087,0.494,"Male-biased and becoming more so"
"China","All journals","Molecular Biology","overall",16232,11778,47.942,46.954,48.699,0.256,0.204,0.303,0,0,0,0.266,0.782,"Essentially at parity"
"Czech Republic","All journals","Molecular Biology","overall",2031,446,43.669,40.238,46.211,0.61,0.396,0.765,3.365,0,14.365,0.227,1.934,"Male-biased but improving"
"Denmark","All journals","Molecular Biology","overall",3904,1066,35.313,32.74,37.892,0.64,0.377,0.872,21.365,12.365,48.365,0.125,2.339,"Male-biased but improving"
"Egypt","All journals","Molecular Biology","overall",1028,567,46.371,41.562,49.229,0.354,-0.083,0.554,13,NA,NA,0.239,1.136,"Essentially at parity"
"Finland","All journals","Molecular Biology","overall",2523,632,37.735,33.291,42.067,-0.114,-0.792,0.359,NA,NA,NA,-0.022,0.54,"Male-biased and becoming more so"
"France","All journals","Molecular Biology","overall",21726,5260,39.258,37.879,40.776,-0.086,-0.282,0.084,NA,NA,NA,-0.02,0.462,"Male-biased and becoming more so"
"Germany","All journals","Molecular Biology","overall",29167,7672,35.718,34.585,36.722,0.49,0.38,0.591,27.365,20.365,38.365,0.095,1.773,"Male-biased but improving"
"Greece","All journals","Molecular Biology","overall",726,197,43.574,38.148,47.529,0.588,0.216,0.813,17,NA,NA,0.229,1.928,"Male-biased but improving"
"Hungary","All journals","Molecular Biology","overall",700,191,34.694,26.985,42.279,0.123,-1.038,0.785,NA,NA,NA,0.028,1.08,"Male-biased but improving"
"India","All journals","Molecular Biology","overall",7750,3666,30.304,28.271,32.291,-0.217,-0.592,0.084,NA,NA,NA,-0.034,0.966,"Male-biased and becoming more so"
"Iran","All journals","Molecular Biology","overall",2388,943,38.536,35.007,41.621,1.222,0.777,1.516,7.365,3.365,17.365,0.276,5.988,"Male-biased but improving"
"Ireland","All journals","Molecular Biology","overall",1538,439,39.789,35.811,43.317,0.619,0.146,0.874,27,NA,NA,0.152,1.82,"Male-biased but improving"
"Israel","All journals","Molecular Biology","overall",3911,1148,44.253,41.001,47.002,0.335,0.047,0.446,18,NA,NA,0.136,0.79,"Male-biased but improving"
"Italy","All journals","Molecular Biology","overall",12273,2621,49.579,48.672,49.953,0.084,0.018,0.144,0,0,0,0.403,0.493,"Essentially at parity"
"Japan","All journals","Molecular Biology","overall",20421,5632,23.817,22.469,25.256,0.131,-0.021,0.309,NA,NA,NA,0.022,2.628,"Male-biased but improving"
"Mexico","All journals","Molecular Biology","overall",1406,343,43.084,38.729,46.554,0.669,0.321,0.864,20,NA,NA,0.233,2.237,"Male-biased but improving"
"Netherlands","All journals","Molecular Biology","overall",6524,1662,33.636,31.483,36.038,0.429,0.195,0.643,38.365,20.365,99.365,0.078,1.864,"Male-biased but improving"
"New Zealand","All journals","Molecular Biology","overall",1318,422,31.515,26.03,36.309,-0.518,-1.299,0.113,NA,NA,NA,-0.087,0.566,"Male-biased and becoming more so"
"Norway","All journals","Molecular Biology","overall",1866,485,33.27,28.612,37.876,-0.248,-0.969,0.289,NA,NA,NA,-0.047,0.682,"Male-biased and becoming more so"
"Poland","All journals","Molecular Biology","overall",3328,987,48.138,45.357,49.753,0.311,0.08,0.428,11,NA,NA,0.372,1.645,"Essentially at parity"
"Portugal","All journals","Molecular Biology","overall",2249,560,50,46.486,50,0,-0.033,0.171,NA,NA,NA,7.902,58469.588,"Essentially at parity"
"Russia","All journals","Molecular Biology","overall",2495,663,38.927,34.395,42.988,-0.108,-0.946,0.349,NA,NA,NA,-0.023,0.465,"Male-biased and becoming more so"
"Saudi Arabia","All journals","Molecular Biology","overall",724,301,28.663,23.232,33.751,0.52,-0.551,1.411,NA,NA,NA,0.086,3.051,"Male-biased but improving"
"Singapore","All journals","Molecular Biology","overall",1760,677,35.545,31.058,39.657,0.312,-0.303,0.727,NA,NA,NA,0.06,1.345,"Male-biased but improving"
"South Korea","All journals","Molecular Biology","overall",4657,2519,42.928,40.609,45.052,0.397,0.194,0.51,21,NA,NA,0.132,0.979,"Male-biased but improving"
"Spain","All journals","Molecular Biology","overall",9175,2184,43.626,41.945,45.054,0.507,0.39,0.578,3.365,0.365,9.365,0.181,1.323,"Male-biased but improving"
"Sweden","All journals","Molecular Biology","overall",5511,1584,35.808,32.821,38.855,0.11,-0.241,0.404,NA,NA,NA,0.02,0.942,"Male-biased but improving"
"Switzerland","All journals","Molecular Biology","overall",6842,1809,34.359,32.233,36.296,0.526,0.297,0.729,29.365,17.365,61.39,0.097,2.056,"Male-biased but improving"
"Turkey","All journals","Molecular Biology","overall",2956,1008,39.392,36.025,42.441,0.407,-0.189,0.779,NA,NA,NA,0.096,1.193,"Male-biased but improving"
"United Kingdom","All journals","Molecular Biology","overall",15821,4859,34.42,32.738,35.9,0.063,-0.128,0.232,NA,NA,NA,0.012,1,"Male-biased but improving"
"USA","All journals","Molecular Biology","overall",139808,47801,35.765,35.226,36.297,0.237,0.183,0.291,55.365,42.365,76.365,0.046,1.171,"Male-biased but improving"
"Argentina","All journals","Multidisciplinary","overall",4146,853,44.388,35.26,47.079,0.154,-4.354,0.435,NA,NA,NA,0.059,0.407,"Male-biased but improving"
"Australia","All journals","Multidisciplinary","overall",29670,7621,38.018,36.972,38.942,0.435,0.262,0.57,22.365,15.365,42.39,0.094,1.382,"Male-biased but improving"
"Austria","All journals","Multidisciplinary","overall",13316,2331,35.707,34.39,36.949,0.529,0.276,0.743,25.365,16.365,53.39,0.104,1.907,"Male-biased but improving"
"Belgium","All journals","Multidisciplinary","overall",12682,2245,39.263,37.876,40.588,0.399,0.147,0.603,33,NA,NA,0.094,1.196,"Male-biased but improving"
"Brazil","All journals","Multidisciplinary","overall",19573,4571,40.655,37.634,42.964,-0.816,-2.353,-0.036,NA,NA,NA,-0.217,0.076,"Male-biased and becoming more so"
"Canada","All journals","Multidisciplinary","overall",47566,11544,36.998,36.334,37.686,0.402,0.286,0.511,28.365,20.365,42.365,0.084,1.411,"Male-biased but improving"
"Chile","All journals","Multidisciplinary","overall",2720,587,36.79,33.501,39.624,0.688,0.004,1.12,32,NA,NA,0.14,2.317,"Male-biased but improving"
"China","All journals","Multidisciplinary","overall",36123,29474,42.558,39.249,44.727,-0.27,-1.581,0.269,NA,NA,NA,-0.085,0.171,"Male-biased and becoming more so"
"Colombia","All journals","Multidisciplinary","overall",1119,191,39.126,33.661,43.338,0.916,-0.381,1.604,21,NA,NA,0.214,3.335,"Male-biased but improving"
"Croatia","All journals","Multidisciplinary","overall",1998,143,37.553,34.042,40.886,-1.551,-3.626,-0.048,NA,NA,NA,-0.343,0.039,"Male-biased and becoming more so"
"Czech Republic","All journals","Multidisciplinary","overall",3877,890,36.52,33.847,38.931,0.197,-0.36,0.649,NA,NA,NA,0.042,1.05,"Male-biased but improving"
"Denmark","All journals","Multidisciplinary","overall",16317,2903,37.965,36.891,39.012,1.109,0.972,1.229,9.365,7.365,11.365,0.242,4.748,"Male-biased but improving"
"Egypt","All journals","Multidisciplinary","overall",672,232,35.43,28.627,41.393,-0.083,-2.727,0.976,NA,NA,NA,-0.016,0.708,"Male-biased and becoming more so"
"Estonia","All journals","Multidisciplinary","overall",1881,191,43.154,39.942,45.922,0.612,-0.298,1.028,19,NA,NA,0.211,1.816,"Male-biased but improving"
"Finland","All journals","Multidisciplinary","overall",10997,1718,41.65,40.085,43.026,0.253,-0.105,0.497,NA,NA,NA,0.072,0.73,"Male-biased but improving"
"France","All journals","Multidisciplinary","overall",68831,12953,37.757,37.059,38.504,-0.122,-0.293,0.02,NA,NA,NA,-0.027,0.518,"Male-biased and becoming more so"
"Germany","All journals","Multidisciplinary","overall",82158,16555,34.764,34.208,35.25,0.673,0.591,0.746,22.365,19.365,26.365,0.127,2.515,"Male-biased but improving"
"Ghana","All journals","Multidisciplinary","overall",479,129,37.844,31.764,43.143,2.08,0.99,2.885,5.365,1.365,19.365,0.463,30.233,"Male-biased but improving"
"Greece","All journals","Multidisciplinary","overall",2252,491,41.773,38.853,44.1,0.819,0.492,1.054,5.365,1.365,14.365,0.243,2.979,"Male-biased but improving"
"Hong Kong","All journals","Multidisciplinary","overall",1120,600,40.152,34.166,44.873,0.458,-0.9,0.966,NA,NA,NA,0.117,1.287,"Male-biased but improving"
"Hungary","All journals","Multidisciplinary","overall",2495,538,37.381,34.383,40.271,0.368,-0.314,0.834,NA,NA,NA,0.079,1.294,"Male-biased but improving"
"India","All journals","Multidisciplinary","overall",11063,4254,33.887,32.318,35.464,0.324,-0.057,0.656,NA,NA,NA,0.059,1.552,"Male-biased but improving"
"Indonesia","All journals","Multidisciplinary","overall",1763,274,44.452,39.567,47.933,0.376,-1.465,0.705,NA,NA,NA,0.163,0.937,"Male-biased but improving"
"Iran","All journals","Multidisciplinary","overall",1248,452,27.205,21.265,32.844,-0.041,-1.338,1.191,NA,NA,NA,-0.003,1.618,"Male-biased and becoming more so"
"Ireland","All journals","Multidisciplinary","overall",6734,897,38.981,37.367,40.469,0.509,0.141,0.788,30,NA,NA,0.118,1.505,"Male-biased but improving"
"Israel","All journals","Multidisciplinary","overall",9231,2494,39.18,37.254,41.067,0.086,-0.237,0.335,NA,NA,NA,0.02,0.649,"Male-biased but improving"
"Italy","All journals","Multidisciplinary","overall",39542,6817,46.368,45.15,47.352,0.208,0.012,0.286,11,NA,NA,0.127,0.445,"Essentially at parity"
"Japan","All journals","Multidisciplinary","overall",37851,11441,23.358,22.474,24.211,0.247,0.113,0.383,121,NA,NA,0.039,3.169,"Male-biased but improving"
"Kenya","All journals","Multidisciplinary","overall",1244,185,39.493,33.952,44.525,0.614,-0.8,1.252,NA,NA,NA,0.148,1.814,"Male-biased but improving"
"Malaysia","All journals","Multidisciplinary","overall",3194,1446,34.181,31.17,37.123,-0.207,-1.352,0.76,NA,NA,NA,-0.028,0.722,"Male-biased and becoming more so"
"Mexico","All journals","Multidisciplinary","overall",3907,1002,35.284,32.771,37.717,0.307,-0.296,0.758,NA,NA,NA,0.06,1.374,"Male-biased but improving"
"Netherlands","All journals","Multidisciplinary","overall",29837,5974,39.407,38.618,40.23,1.027,0.934,1.115,7.365,6.365,9.365,0.247,4.183,"Male-biased but improving"
"New Zealand","All journals","Multidisciplinary","overall",5176,1151,33.792,31.694,35.924,-0.326,-1.082,0.243,NA,NA,NA,-0.06,0.582,"Male-biased and becoming more so"
"Norway","All journals","Multidisciplinary","overall",10284,1817,40.82,39.398,41.956,0.873,0.659,1.041,6.365,4.365,11.365,0.23,3.076,"Male-biased but improving"
"Pakistan","All journals","Multidisciplinary","overall",1203,360,37.33,33.229,41.146,0.354,-0.653,1.073,NA,NA,NA,0.073,1.259,"Male-biased but improving"
"Peru","All journals","Multidisciplinary","overall",756,108,38.848,33.41,43.585,0.68,-0.853,1.487,NA,NA,NA,0.165,2.249,"Male-biased but improving"
"Poland","All journals","Multidisciplinary","overall",4932,1134,35.662,31.681,39.969,-2.837,-5.384,-0.507,NA,NA,NA,-0.559,0.008,"Male-biased and becoming more so"
"Portugal","All journals","Multidisciplinary","overall",7392,1505,30.381,26.461,34.918,-8.596,-11.05,-5.925,NA,NA,NA,-1.44,0,"Male-biased and becoming more so"
"Romania","All journals","Multidisciplinary","overall",985,207,35.414,27.517,44.442,-4.597,-10.615,0.472,NA,NA,NA,-0.903,0,"Male-biased and becoming more so"
"Russia","All journals","Multidisciplinary","overall",5846,1054,32.184,29.987,34.392,-0.637,-1.361,-0.053,NA,NA,NA,-0.106,0.457,"Male-biased and becoming more so"
"Saudi Arabia","All journals","Multidisciplinary","overall",2160,449,34.298,30.77,37.306,2.772,1.69,3.604,6.365,3.365,11.39,0.515,66.286,"Male-biased but improving"
"Serbia","All journals","Multidisciplinary","overall",883,254,52.369,50,88.797,-0.012,-0.326,67.262,NA,NA,NA,0.152,-0.315,"Essentially at parity"
"Singapore","All journals","Multidisciplinary","overall",5091,1639,36.82,34.831,38.999,0.685,0.314,1.026,17.365,8.365,44.39,0.145,2.374,"Male-biased but improving"
"Slovakia","All journals","Multidisciplinary","overall",881,133,39.654,35.229,43.809,0.016,-0.693,0.491,NA,NA,NA,0.003,0.533,"Male-biased but improving"
"Slovenia","All journals","Multidisciplinary","overall",878,247,31.723,24.779,37.658,-1.204,-3.15,0.031,NA,NA,NA,-0.203,0.209,"Male-biased and becoming more so"
"South Africa","All journals","Multidisciplinary","overall",4543,1026,41.933,39.811,43.823,0.414,-0.123,0.731,23,NA,NA,0.117,1.025,"Male-biased but improving"
"South Korea","All journals","Multidisciplinary","overall",6040,4530,36.027,33.363,38.335,-0.029,-0.662,0.378,NA,NA,NA,-0.008,0.727,"Male-biased and becoming more so"
"Spain","All journals","Multidisciplinary","overall",28916,5400,41.55,40.61,42.471,0.421,0.242,0.565,10.365,6.34,22.365,0.121,1.113,"Male-biased but improving"
"Sweden","All journals","Multidisciplinary","overall",19304,4454,39.373,38.2,40.503,0.506,0.338,0.634,15.365,10.365,26.365,0.121,1.468,"Male-biased but improving"
"Switzerland","All journals","Multidisciplinary","overall",22163,4406,34.151,33.217,35.138,0.557,0.411,0.709,28.365,20.365,41.365,0.104,2.207,"Male-biased but improving"
"Taiwan","All journals","Multidisciplinary","overall",1036,2903,29.376,22.975,34.869,-0.632,-2.292,0.644,NA,NA,NA,-0.113,0.556,"Male-biased and becoming more so"
"Thailand","All journals","Multidisciplinary","overall",1872,510,37.044,32,40.921,-0.488,-2.773,0.53,NA,NA,NA,-0.099,0.301,"Male-biased and becoming more so"
"Turkey","All journals","Multidisciplinary","overall",2389,781,35.491,32.734,38.284,0.083,-0.541,0.628,NA,NA,NA,0.013,0.911,"Male-biased but improving"
"Uganda","All journals","Multidisciplinary","overall",1448,251,41.718,38.055,44.536,1.485,0.907,1.917,3.365,0.365,10.365,0.43,14.364,"Male-biased but improving"
"United Kingdom","All journals","Multidisciplinary","overall",63148,14907,38.703,38.112,39.285,0.803,0.726,0.872,11.365,9.365,13.365,0.183,2.683,"Male-biased but improving"
"USA","All journals","Multidisciplinary","overall",432898,120128,36.775,36.538,37.006,0.637,0.612,0.661,18.365,17.365,19.365,0.131,2.137,"Male-biased but improving"
"Australia","All journals","Nanotechnology","overall",2437,718,25.648,22.309,28.909,-0.355,-1.081,0.404,NA,NA,NA,-0.055,1.199,"Male-biased and becoming more so"
"Austria","All journals","Nanotechnology","overall",1125,208,22.561,18.289,27.034,0.941,0.032,1.897,41,NA,NA,0.145,8.25,"Male-biased but improving"
"Belgium","All journals","Nanotechnology","overall",986,169,30.896,25.604,35.694,2.022,0.953,2.788,10.365,5.365,28.365,0.339,20.911,"Male-biased but improving"
"Brazil","All journals","Nanotechnology","overall",1260,279,46.186,42.233,48.616,0.749,0.443,0.994,0,0,5.365,0.448,6.854,"Essentially at parity"
"Canada","All journals","Nanotechnology","overall",3683,1122,26.487,23.822,29.149,0.071,-0.474,0.556,NA,NA,NA,0.008,1.897,"Male-biased but improving"
"China","All journals","Nanotechnology","overall",14334,8541,39.026,36.827,41.029,-0.943,-1.704,-0.364,NA,NA,NA,-0.22,0.09,"Male-biased and becoming more so"
"Denmark","All journals","Nanotechnology","overall",1630,332,30.509,26.559,34.692,2.041,1.345,2.606,10.365,6.365,19.365,0.342,21.941,"Male-biased but improving"
"Finland","All journals","Nanotechnology","overall",861,154,20.295,14.952,26.458,-0.17,-1.217,0.967,NA,NA,NA,-0.024,2.363,"Male-biased and becoming more so"
"France","All journals","Nanotechnology","overall",5905,1223,29.523,27.443,31.721,0.391,-0.023,0.787,NA,NA,NA,0.066,2.38,"Male-biased but improving"
"Germany","All journals","Nanotechnology","overall",9953,2022,22.545,20.928,24.101,0.717,0.368,1.023,41.365,28.365,83.365,0.114,6.32,"Male-biased but improving"
"India","All journals","Nanotechnology","overall",3083,1321,24.417,21.743,27.276,-0.21,-0.747,0.329,NA,NA,NA,-0.033,1.577,"Male-biased and becoming more so"
"Iran","All journals","Nanotechnology","overall",615,163,28.999,19.712,38.451,0.616,-1.179,2.046,NA,NA,NA,0.101,3.354,"Male-biased but improving"
"Ireland","All journals","Nanotechnology","overall",1245,232,29.588,24.587,34.128,0.454,-0.434,1.229,NA,NA,NA,0.078,2.616,"Male-biased but improving"
"Israel","All journals","Nanotechnology","overall",1498,425,30.754,25.861,35.112,0.545,-0.263,1.225,NA,NA,NA,0.089,2.645,"Male-biased but improving"
"Italy","All journals","Nanotechnology","overall",4788,795,37.13,34.421,39.739,0.537,0.012,0.909,31,NA,NA,0.113,1.768,"Male-biased but improving"
"Japan","All journals","Nanotechnology","overall",4354,1256,18.588,15.991,21.124,0.822,0.342,1.323,39.365,23.365,94.39,0.141,10.901,"Male-biased but improving"
"Netherlands","All journals","Nanotechnology","overall",2619,607,21.643,17.873,25.13,1.011,0.388,1.649,46,NA,NA,0.164,10.342,"Male-biased but improving"
"Poland","All journals","Nanotechnology","overall",694,144,29.472,22.176,36.418,-0.216,-2.34,1.301,NA,NA,NA,-0.031,1.052,"Male-biased and becoming more so"
"Portugal","All journals","Nanotechnology","overall",722,174,44.593,39.836,47.709,0.483,-0.11,0.837,15,NA,NA,0.209,1.406,"Male-biased but improving"
"Russia","All journals","Nanotechnology","overall",550,125,29.646,22.907,36.757,1.564,-0.219,2.977,29,NA,NA,0.26,11.897,"Male-biased but improving"
"Singapore","All journals","Nanotechnology","overall",3007,1112,35.108,31.984,38.028,0.828,0.188,1.295,28,NA,NA,0.158,3.145,"Male-biased but improving"
"South Korea","All journals","Nanotechnology","overall",8284,4403,33.642,31.447,35.815,0.476,0.025,0.848,45,NA,NA,0.087,1.997,"Male-biased but improving"
"Spain","All journals","Nanotechnology","overall",2853,553,39.205,36.387,41.899,0.857,0.352,1.22,24,NA,NA,0.205,3.016,"Male-biased but improving"
"Sweden","All journals","Nanotechnology","overall",2091,480,21.442,18.131,24.802,0.026,-0.555,0.651,NA,NA,NA,0.005,2.776,"Male-biased but improving"
"Switzerland","All journals","Nanotechnology","overall",2964,660,22.956,20.316,25.883,0.219,-0.332,0.769,NA,NA,NA,0.035,3.148,"Male-biased but improving"
"Turkey","All journals","Nanotechnology","overall",572,155,30.685,24.593,36.821,-0.027,-1.233,1.041,NA,NA,NA,0.003,1.272,"Male-biased and becoming more so"
